,AGP,AMS,ARN,ATH,BCN,BRU,CDG,CPH,DUB,DUS,FCO,FRA,HEL,IST,LGW,LHR,LIS,LTN,MAD,MAN,MUC,MXP,ORY,OSL,PMI,STN,TXL,VIE,WAW,ZRH
2015-06-27,4.0,14.0,0.0,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,1.0,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,12.0,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-06-28,4.0,14.0,0.5714285714285714,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,1.0,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,11.924999999999999,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-06-29,4.0,14.0,1.1428571428571428,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,11.849999999999998,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-06-30,4.0,14.0,1.7142857142857142,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,11.775,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-07-01,4.0,14.0,2.2857142857142856,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,11.7,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-07-02,4.0,14.0,2.857142857142857,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,1.0,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,11.624999999999998,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-07-03,4.0,14.0,3.4285714285714284,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,11.549999999999999,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-07-04,4.0,14.0,4.0,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,1.0,9.0,26.0,21.5,4.0,6.333,7.0,2.5,10.0,11.474999999999998,22.0,2.0,7.5,8.167,8.0,8.0,6.0,8.0
2015-07-05,4.0,14.0,3.9833499999999997,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,1.0,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.925,11.399999999999999,22.0,2.0,7.5,8.167,8.025,8.0,6.0,8.0
2015-07-06,4.0,14.0,3.9666999999999994,9.0,2.5,7.0,25.0,7.0,0.0,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.85,11.325,22.0,2.0,7.5,8.167,8.049999999999999,8.0,6.0,8.0
2015-07-07,4.0,14.299999999999997,3.95005,9.0,2.5,7.249999999999999,25.349999999999994,7.0,0.0,6.0,10.5,1.5,1.0,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.775,11.25,22.499999999999996,2.0,7.5,8.167,8.075,8.0,6.0,8.0
2015-07-08,4.0,14.6,3.9334,9.0,2.5,7.5,25.7,7.0,0.0,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.7,11.174999999999999,22.999999999999996,2.0,7.5,8.167,8.1,8.0,6.0,8.0
2015-07-09,4.0,14.899999999999999,3.91675,9.0,2.5,7.75,26.049999999999997,7.0,0.12499999999999999,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.625,11.099999999999998,23.5,2.0,7.5,8.167,8.125,8.0,6.0,8.0
2015-07-10,4.0,15.2,3.9000999999999997,9.0,2.5,8.0,26.4,7.0,0.24999999999999997,6.0,10.5,1.5,0.9999999999999999,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.55,11.024999999999999,24.0,2.0,7.5,8.167,8.149999999999999,8.0,6.0,8.0
2015-07-11,4.0,15.499999999999996,3.8834499999999994,9.0,2.5,8.249999999999998,26.749999999999996,7.0,0.375,6.0,10.5,1.5,1.0,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.474999999999998,10.95,24.499999999999996,2.0,7.5,8.167,8.174999999999999,8.0,6.0,8.0
2015-07-12,4.0,15.799999999999999,3.8667999999999996,9.0,2.5,8.5,27.099999999999998,7.0,0.49999999999999994,6.0,10.538461538461538,1.5,0.875,9.0,26.0,21.5,4.0,6.333,7.0,2.5,9.4,10.875,25.0,2.0,7.5,8.167,8.2,8.0,6.0,8.0
2015-07-13,4.0,16.099999999999998,3.8501499999999993,9.0,2.5,8.75,27.45,7.0,0.6249999999999999,6.0,10.576923076923075,1.5,0.75,9.0,26.0,21.5,4.0,6.333,7.38235294117647,2.5,9.325,10.799999999999999,25.5,2.0,7.5,8.167,8.225,8.0,6.0,8.0
2015-07-14,4.0,16.4,3.8334999999999995,9.0,2.5,9.0,27.799999999999997,7.0,0.75,6.0,10.615384615384615,1.5,0.625,9.0,26.0,21.5,4.0,6.333,7.76470588235294,2.5,9.249999999999998,10.725,25.999999999999996,2.0,7.5,8.167,8.249999999999998,8.0,6.0,8.0
2015-07-15,4.0,16.7,3.8168499999999996,9.0,2.5,9.249999999999998,28.15,7.0,0.875,6.0,10.653846153846153,1.5,0.5,9.0,26.0,21.5,4.0,6.333,8.147058823529411,2.5,9.175,10.649999999999999,26.499999999999996,2.0,7.5,8.167,8.274999999999999,8.0,6.0,8.0
2015-07-16,4.0,17.0,3.8001999999999994,9.0,2.5,9.5,28.5,7.0,0.9999999999999999,6.0,10.69230769230769,1.5,0.5832999999999999,9.0,26.0,21.5,4.7082999999999995,6.333,8.529411764705882,2.5,9.1,10.575,27.0,2.0,7.5,8.167,8.299999999999999,8.0,6.0,8.0
2015-07-17,4.0,16.9,3.7835499999999995,9.049999999999999,2.55,9.483299999999998,28.5,7.0,1.125,6.0,10.73076923076923,1.5,0.6665999999999999,9.0,26.0,21.5,5.416599999999999,6.333,8.911764705882353,2.5,9.024999999999999,10.499999999999998,27.064076923076918,2.0,7.5,8.167,8.325,8.0,6.0,8.0
2015-07-18,4.0,16.8,3.7668999999999997,9.1,2.5999999999999996,9.4666,28.499999999999996,7.0,1.2499999999999998,6.0,10.769230769230768,1.5,0.7499,9.0,26.0,21.5,6.1249,6.333,9.294117647058822,2.5,8.95,10.424999999999999,27.128153846153843,2.0,7.5,8.167,8.35,8.0,6.0,8.0
2015-07-19,4.0,16.7,3.75025,9.15,2.65,9.4499,28.499999999999996,7.0,1.3749999999999998,6.0,10.807692307692307,1.5,0.8331999999999999,9.0,26.0,21.5,6.8332,6.333,9.676470588235293,2.5,8.875,10.349999999999998,27.192230769230765,2.0,7.5,8.167,8.375,8.0,6.0,8.0
2015-07-20,4.0,16.599999999999998,3.7335999999999996,9.2,2.7,9.4332,28.5,7.0,1.5,6.0,10.846153846153845,1.5,0.9164999999999999,9.0,26.0,21.5,7.541499999999999,6.333,10.058823529411764,2.5,8.799999999999999,10.274999999999999,27.256307692307693,2.0,7.5,8.167,8.4,8.0,6.0,8.0
2015-07-21,4.0,16.499999999999996,3.7169499999999998,9.249999999999998,2.7499999999999996,9.4165,28.499999999999996,7.0,1.6249999999999998,6.0,10.884615384615383,1.5,0.9997999999999999,9.0,26.0,21.5,8.2498,6.333,10.441176470588236,2.5,8.725,10.2,27.32038461538461,2.0,7.5,8.167,8.424999999999999,8.0,6.0,8.0
2015-07-22,4.0,16.4,3.7002999999999995,9.3,2.8,9.399799999999999,28.5,7.0,1.75,6.0,10.923076923076922,1.5,1.0831,9.0,26.0,21.5,8.9581,6.333,10.823529411764707,2.5,8.649999999999999,10.125,27.384461538461537,2.0,7.5,8.167,8.45,8.0,6.0,8.0
2015-07-23,4.0,16.299999999999997,3.6836499999999996,9.35,2.8499999999999996,9.3831,28.5,7.0,1.875,6.0,10.961538461538462,1.5,1.1663999999999999,9.0,26.0,21.5,9.6664,6.333,11.205882352941178,2.5,8.575,10.049999999999999,27.448538461538458,2.0,7.5,8.167,8.475,8.0,6.0,8.0
2015-07-24,4.0,16.2,3.667,9.399999999999999,2.9,9.366399999999999,28.499999999999996,7.0,1.9999999999999998,6.0,11.0,1.5,1.2496999999999998,9.0,26.0,21.5,10.374699999999999,6.333,11.588235294117647,2.5,8.5,9.974999999999998,27.51261538461538,2.0,7.5,8.167,8.5,8.0,6.0,8.0
2015-07-25,4.0,16.099999999999998,3.9446666666666665,9.45,2.9499999999999997,9.349699999999999,28.5,7.0,2.125,6.0,10.940428571428571,1.5,1.333,9.0,26.0,21.5,11.083,6.333,11.970588235294116,2.5,8.549999999999999,9.899999999999999,27.576692307692305,2.0,7.5,8.167,8.2,8.0,6.0,8.0
2015-07-26,4.0,16.0,4.222333333333333,9.5,3.0,9.333,28.499999999999996,7.0,2.25,6.0,10.880857142857144,1.5,1.2776666666666667,9.0,26.0,21.5,11.083,6.333,12.352941176470587,2.5,8.6,9.825,27.640769230769227,2.0,7.5,8.167,7.8999999999999995,8.0,4.5,8.0
2015-07-27,4.0,16.0,4.5,9.5,3.964285714285714,9.332999999999998,28.499999999999996,7.0,2.375,6.0,10.821285714285715,1.5,1.2223333333333333,9.0,26.0,21.5,11.083,6.333,12.73529411764706,2.5,8.649999999999999,9.75,27.704846153846148,2.0,7.5,8.167,7.6,8.0,3.0,8.0
2015-07-28,4.0,16.0,4.642857142857142,9.5,4.928571428571429,9.333,28.5,7.0,2.4999999999999996,6.0,10.761714285714286,1.5,1.167,9.0,26.0,21.5,11.083,6.333,13.117647058823529,2.5,8.7,9.674999999999999,27.768923076923073,2.0,7.5,8.167,7.299999999999999,8.0,1.5,8.0
2015-07-29,4.0,16.0,4.785714285714286,9.5,5.892857142857142,9.332999999999998,28.5,7.0,2.6249999999999996,6.0,10.702142857142857,1.5,1.167,9.0,26.0,21.5,10.880714285714285,6.333,13.5,2.5,8.749999999999998,9.6,27.833,2.0,7.5,8.167,6.999999999999998,8.333333333333332,1.8095714285714284,8.0
2015-07-30,4.0,16.0,4.928571428571429,9.381,6.857142857142857,9.332999999999998,28.428571428571427,7.0,2.7499999999999996,6.0,10.642571428571427,1.5,1.167,9.0,26.0,21.5,10.678428571428572,6.333,13.555666666666667,2.5,8.799999999999999,9.524999999999999,27.761571428571425,2.0,7.5,8.167,6.699999999999999,8.666666666666666,2.119142857142857,8.0
2015-07-31,4.0,16.0,5.071428571428571,9.262,7.821428571428571,9.333,28.357142857142858,7.0,2.875,6.0,10.583,1.5,1.167,10.0,26.0,21.5,10.476142857142857,6.333,13.611333333333333,2.5,8.85,9.45,27.690142857142853,2.0,7.5,8.167,6.3999999999999995,9.0,2.4287142857142854,8.642857142857142
2015-08-01,4.0,16.0,5.214285714285714,9.142999999999999,8.785714285714285,9.332999999999998,28.285714285714285,7.0,3.0,6.0,10.638666666666666,1.5,1.292,11.0,26.0,21.5,10.273857142857143,6.333,13.667,2.5,8.899999999999999,9.374999999999998,27.618714285714283,2.0,7.5,8.167,6.1,9.023857142857143,2.738285714285714,9.285714285714285
2015-08-02,3.9285714285714284,16.0,5.357142857142858,9.024,9.75,9.333,28.214285714285715,7.0,3.125,6.0,10.694333333333333,1.5,1.417,12.0,26.0,21.5,10.071571428571428,6.333,13.690714285714286,2.5,8.95,9.299999999999999,27.547285714285714,2.0,7.5,8.167,5.799999999999999,9.047714285714285,3.0478571428571426,9.928571428571427
2015-08-03,3.857142857142857,15.722333333333331,5.5,8.905,9.833333333333332,9.888666666666666,28.142857142857142,7.0,3.2499999999999996,6.0,10.75,1.5195882352941175,1.542,11.999999999999998,26.0,21.5,9.869285714285713,6.333,13.71442857142857,2.5,9.0,9.225,27.475857142857144,1.9,7.547571428571428,8.167,5.5,9.071571428571428,3.357428571428571,10.571428571428571
2015-08-04,3.7857142857142856,15.444666666666667,5.277666666666667,8.786,9.916666666666666,10.444333333333333,28.07142857142857,7.0,3.3749999999999996,6.0,10.785714285714285,1.5391764705882354,1.667,12.0,26.0,21.5,9.667,6.333,13.738142857142858,2.5,10.111,9.149999999999999,27.404428571428568,1.7999999999999998,7.595142857142857,8.167,5.666666666666666,9.09542857142857,3.667,11.214285714285715
2015-08-05,3.7142857142857144,15.167,5.0553333333333335,8.667,10.0,11.0,28.0,7.0,3.5,6.0,10.821428571428571,1.558764705882353,1.689,12.0,26.0,21.5,9.583666666666666,6.333,13.761857142857142,2.5,11.222,9.075000000000001,27.333,1.7,7.642714285714286,8.167,5.833333333333333,9.119285714285713,3.4446666666666665,11.857142857142856
2015-08-06,3.642857142857143,15.277999999999999,4.833,8.667,10.0,10.735714285714286,27.72233333333333,7.0,3.625,5.571428571428571,10.857142857142858,1.5783529411764705,1.7109999999999999,12.0,26.0,21.5,9.500333333333334,6.333,13.785571428571428,2.5,12.333,9.0,25.999699999999994,1.5999999999999999,7.690285714285714,8.167,6.0,9.143142857142855,3.2223333333333333,12.5
2015-08-07,3.571428571428571,15.389,4.773571428571429,8.667,10.0,10.471428571428572,27.444666666666667,6.666666666666666,3.75,5.142857142857142,10.892857142857142,1.5979411764705884,1.733,12.0,26.0,21.5,9.417,6.333,13.809285714285714,2.5,12.368714285714285,9.222333333333333,24.666399999999996,1.4999999999999998,7.737857142857143,8.167,5.845285714285714,9.167,3.0,12.444333333333333
2015-08-08,3.5,15.5,4.714142857142857,8.667,10.0,10.207142857142857,27.167,6.333333333333333,3.8749999999999996,4.7142857142857135,10.928571428571429,1.617529411764706,1.733,11.999999999999998,26.0,21.5,9.524142857142856,6.333,13.833,2.5,12.404428571428571,9.444666666666667,23.333099999999998,1.4,7.785428571428571,8.167,5.690571428571428,9.000333333333332,3.0999999999999996,12.388666666666666
2015-08-09,3.4999999999999996,15.20825,4.654714285714285,8.571714285714284,10.0,9.942857142857143,25.286,6.0,3.9999999999999996,4.285714285714286,10.964285714285715,1.6371176470588233,1.733,12.0,25.93592307692308,22.166666666666664,9.631285714285713,6.333,13.916333333333332,2.5,12.440142857142856,9.667,21.9998,1.2999999999999998,7.833,8.167,5.535857142857143,8.833666666666666,3.2,12.333
2015-08-10,3.4999999999999996,14.9165,4.595285714285714,8.47642857142857,10.0,9.678571428571429,23.405,5.999999999999999,4.125,3.8571428571428568,11.0,1.6567058823529413,1.733,13.583333333333332,25.87184615384615,22.833333333333332,9.738428571428571,6.333,13.999666666666666,2.5,12.475857142857143,9.619285714285713,20.666499999999996,1.2,6.999666666666666,8.167,5.381142857142857,8.667,3.3,12.332999999999998
2015-08-11,3.5,14.62475,4.535857142857143,8.381142857142857,10.0,9.414285714285715,21.524,6.0,4.25,3.4285714285714284,11.0,1.6762941176470587,1.93725,15.166666666666666,25.80776923076923,23.5,9.845571428571429,6.333,14.083,2.5,12.511571428571429,9.571571428571428,19.333199999999998,1.0999999999999999,6.166333333333333,8.167,5.226428571428571,8.785588235294117,3.4,12.333
2015-08-12,3.5238571428571426,14.333,4.4764285714285705,8.285857142857143,10.0,9.15,19.643,6.0,4.374999999999999,3.0,11.0,1.6958823529411766,2.1414999999999997,16.75,25.743692307692307,23.4333,9.952714285714286,6.333,13.968714285714285,2.5,12.547285714285714,9.523857142857143,17.999899999999997,1.0,5.333,8.353235294117646,5.071714285714285,8.904176470588235,3.5000000000000004,12.332999999999998
2015-08-13,3.5477142857142856,13.499666666666666,4.417,8.190571428571428,9.944333333333333,9.516666666666666,17.762,6.0,4.5,3.0,11.0,1.715470588235294,2.34575,16.549999999999997,25.67961538461538,23.3666,10.059857142857142,6.333,13.85442857142857,2.5,12.583,9.476142857142857,16.6666,1.3889999999999998,5.306857142857143,8.539470588235293,4.917,9.022764705882352,3.5999999999999996,12.332999999999998
2015-08-14,3.5715714285714286,12.666333333333334,4.561333333333333,8.095285714285714,9.888666666666666,9.883333333333333,15.881,6.0,4.625,3.0,11.014285714285714,1.7350588235294118,2.55,16.35,25.615538461538463,23.299899999999997,10.167,6.333,13.740142857142857,2.5,12.679699999999999,9.428428571428572,15.333299999999998,1.7779999999999998,5.280714285714286,8.72570588235294,4.872333333333333,9.14135294117647,3.7,12.333
2015-08-15,3.595428571428571,11.833,4.705666666666666,8.0,9.833,10.25,14.0,5.999999999999999,4.75,3.0,11.028571428571428,1.7546470588235294,2.811,16.15,25.55146153846154,23.233199999999997,10.255666666666666,6.333,13.625857142857143,2.5,12.776399999999999,9.380714285714285,14.0,2.167,5.2545714285714284,8.911941176470588,4.8276666666666666,9.259941176470589,3.727666666666667,12.332999999999998
2015-08-16,3.619285714285714,11.832999999999998,4.85,8.0,9.606857142857143,10.299999999999999,14.166666666666664,6.0,4.875,3.08325,11.042857142857143,1.774235294117647,3.072,15.95,25.487384615384613,23.166499999999996,10.344333333333333,6.333,13.511571428571429,2.5,12.8731,9.333,13.69230769230769,2.167,5.228428571428571,9.098176470588236,4.783,9.378529411764706,3.755333333333333,12.333
2015-08-17,3.643142857142857,11.833000000000002,5.057142857142857,8.0,9.380714285714285,10.35,14.333333333333332,6.333333333333333,5.0,3.1665,11.057142857142857,1.7938235294117646,3.333,15.75,25.42330769230769,23.099799999999995,10.433,6.333,13.397285714285713,2.5,12.9698,9.332999999999998,13.384615384615383,2.167,5.202285714285715,9.284411764705883,4.835428571428571,9.497117647058824,3.783,12.532999999999998
2015-08-18,3.667,11.832999999999998,5.264285714285714,8.0,9.154571428571428,10.399999999999999,14.5,6.666666666666666,5.333333333333333,3.24975,11.071428571428571,1.8134117647058823,3.3806666666666665,15.549999999999999,25.35923076923077,23.033099999999997,9.842571428571429,6.333,13.283,2.5,13.066499999999998,9.332999999999998,13.076923076923077,2.167,5.176142857142858,9.470647058823529,4.887857142857143,9.615705882352941,3.8115714285714284,12.732999999999999
2015-08-19,3.7223333333333333,11.832999999999998,5.471428571428571,7.857142857142857,8.928428571428572,10.45,14.516699999999998,7.0,5.666666666666666,3.333,11.085714285714285,1.833,3.428333333333333,15.35,25.295153846153845,22.966399999999997,9.252142857142857,6.333,13.282999999999998,2.5,13.1632,9.333,12.769230769230768,2.167,5.15,9.656882352941176,4.940285714285714,9.734294117647059,3.840142857142857,12.933
2015-08-20,3.7776666666666667,11.833000000000002,5.678571428571428,7.714285714285714,8.702285714285715,10.5,14.5334,7.049999999999999,6.0,3.6386666666666665,11.1,1.8886666666666665,3.476,15.416666666666666,25.231076923076923,22.899699999999996,8.661714285714284,6.333,13.282999999999998,2.5,13.259899999999998,9.056857142857142,12.46153846153846,2.3336666666666663,5.539,9.843117647058824,4.992714285714285,9.852882352941176,3.8687142857142853,13.133
2015-08-21,3.833,11.832999999999998,5.885714285714285,7.571428571428571,8.476142857142857,10.549999999999999,14.550099999999999,7.1,6.190428571428571,3.944333333333333,11.133333333333333,1.9443333333333332,3.524,15.483333333333334,25.167,22.833,8.071285714285715,6.333,13.283,2.5,13.3566,8.780714285714286,12.153846153846153,2.500333333333333,5.928,10.029352941176471,5.045142857142857,9.971470588235295,3.8972857142857142,13.332999999999998
2015-08-22,3.9282857142857144,11.833,6.0928571428571425,7.428571428571429,8.25,10.6,14.566799999999999,7.1499999999999995,6.380857142857143,4.25,11.166666666666666,2.0,3.572,15.55,25.22642857142857,23.047285714285714,7.480857142857142,6.333,13.173571428571428,2.5,13.4533,8.504571428571428,11.846153846153845,2.667,6.317,10.215588235294119,5.097571428571429,10.090058823529413,3.9258571428571427,13.533
2015-08-23,4.023571428571429,11.416333333333334,6.3,7.285714285714286,8.139,10.710999999999999,14.583499999999997,7.199999999999999,6.571285714285715,4.25,11.2,2.25,3.62,15.335714285714285,25.285857142857147,23.26157142857143,6.89042857142857,6.333,13.064142857142857,2.5,13.55,8.228428571428571,11.538461538461537,2.714571428571428,6.293142857142858,10.401823529411764,5.15,10.208647058823528,3.954428571428571,13.732999999999999
2015-08-24,4.118857142857143,10.999666666666666,6.238999999999999,7.142857142857142,8.027999999999999,10.822,14.600200000000001,7.249999999999999,6.761714285714286,4.25,11.214285714285714,2.5,3.668,15.121428571428572,25.345285714285712,23.47585714285714,6.3,6.333,12.954714285714285,2.5,13.522333333333332,7.952285714285715,11.23076923076923,2.762142857142857,6.269285714285714,10.588058823529412,5.261,10.327235294117646,3.983,13.932999999999998
2015-08-25,4.214142857142857,10.583,6.177999999999999,7.0,7.917,10.933,14.6169,7.3,6.952142857142857,4.25,11.228571428571428,2.75,3.6679999999999997,14.907142857142858,25.404714285714284,23.690142857142853,6.283333333333332,6.333,12.845285714285714,2.5,13.494666666666667,7.676142857142857,10.923076923076922,2.8097142857142856,6.245428571428571,10.774294117647058,5.372,10.445823529411765,3.905333333333333,14.133
2015-08-26,4.309428571428572,10.611,6.117,6.949999999999999,7.786,10.780714285714286,14.6336,7.35,7.142571428571428,4.225,11.242857142857142,3.0,3.6679999999999997,14.692857142857143,25.464142857142857,23.904428571428568,6.266666666666666,6.333,12.735857142857142,2.5,13.467,7.4,10.615384615384613,2.857285714285714,6.221571428571428,10.960529411764707,5.483,10.564411764705882,3.8276666666666666,14.333
2015-08-27,4.404714285714285,10.639,6.109857142857143,6.8999999999999995,7.655,10.628428571428572,14.650299999999998,7.399999999999999,7.333,4.2,11.257142857142856,6.166666666666666,3.668,14.47857142857143,25.523571428571426,24.118714285714283,6.25,6.333,12.626428571428571,2.5,13.640714285714285,7.3,10.307692307692307,2.904857142857143,6.1977142857142855,11.146764705882353,5.513999999999999,10.683,3.75,14.416333333333334
2015-08-28,4.5,10.667,6.102714285714286,6.85,7.524,10.476142857142857,14.667,7.449999999999999,7.333,4.175000000000001,11.271428571428572,9.333333333333332,3.662,14.264285714285714,25.583,24.333,5.797571428571429,6.333,12.517,2.5,13.814428571428572,7.199999999999999,10.0,2.952428571428571,6.173857142857143,11.333,5.545,10.916333333333332,3.7499999999999996,14.499666666666666
2015-08-29,4.555666666666666,10.708499999999999,6.095571428571429,6.8,7.393,10.323857142857143,13.881285714285713,7.5,7.333,4.15,11.285714285714285,12.5,3.6559999999999997,14.05,21.610999999999997,20.55533333333333,5.345142857142857,6.166333333333332,12.316999999999998,2.5,13.988142857142858,7.1,10.058823529411764,3.0,6.15,11.166333333333334,5.575999999999999,11.149666666666665,3.75,14.583
2015-08-30,4.611333333333333,10.75,6.088428571428571,6.749999999999999,7.2620000000000005,10.17157142857143,13.095571428571429,7.499999999999999,7.333,3.8776666666666664,11.3,12.610999999999999,3.65,13.839,17.638999999999996,16.777666666666665,4.892714285714286,5.999666666666666,12.116999999999999,2.5,14.161857142857142,6.788142857142857,10.11764705882353,3.022333333333333,5.911,10.999666666666666,5.606999999999999,11.383,3.75,14.785428571428572
